Scenario,Foundation,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,Not Wrong,Wrong
"You see a teenage boy chuckling at an amputee he passes by while on the subway.","Care (e)","83 %","0 %","0 %","3 %","10 %","3 %","0 %","3.4"
"You see a girl laughing at another student forgetting her lines at a school play.","Care (e)","73 %","3 %","7 %","0 %","0 %","13 %","3 %","2.4"
"You see a woman commenting out loud about how fat another woman looks in her jeans.","Care (e)","73 %","7 %","0 %","3 %","3 %","13 %","0 %","3.0"
"You see a man quickly canceling a blind date as soon as he sees the woman.","Care (e)","72 %","16 %","0 %","0 %","6 %","3 %","3 %","3.0"
"You see a boy telling a woman that she looks just like her overweight bulldog.","Care (e)","72 %","0 %","0 %","13 %","0 %","16 %","0 %","3.3"
"You see a girl laughing when she realizes her friend's dad is the janitor.","Care (e)","70 %","7 %","0 %","3 %","7 %","10 %","3 %","2.9"
"You see a man snickering as he passes by a cancer patient with a bald head.","Care (e)","69 %","0 %","0 %","3 %","17 %","10 %","0 %","3.4"
"You see a girl saying that another girl is too ugly to be a varsity cheerleader.","Care (e)","69 %","3 %","0 %","0 %","7 %","14 %","7 %","2.8"
"You see a teenage girl openly staring at a disfigured woman as she walks past.","Care (e)","68 %","0 %","0 %","3 %","3 %","3 %","23 %","2.0"
"You see a boy making fun of his brother for getting dumped by his girlfriend.","Care (e)","68 %","0 %","13 %","0 %","0 %","10 %","10 %","2.2"
"You see a man laughing at a disabled co-worker while at an office softball game.","Care (e)","68 %","6 %","0 %","0 %","6 %","19 %","0 %","3.5"
"You see a man loudly telling his wife that the dinner she cooked tastes awful.","Care (e)","66 %","0 %","3 %","3 %","13 %","6 %","9 %","2.4"
"You see a man telling a woman that her painting looks like it was done by children.","Care (e)","66 %","0 %","0 %","6 %","0 %","16 %","13 %","1.9"
"You see a woman clearly avoiding sitting next to an obese woman on the bus.","Care (e)","64 %","7 %","0 %","4 %","4 %","4 %","18 %","2.0"
